time	clg	htg
hr 	btu	btu
1049	0	-202729
1050	2184	-332305
1051	6334	-412338
1052	44602	-506273
1053	39124	-562862
1054	22215	-589385
1055	11554	-596112
1056	8349	-577495
1057	7598	-599957
1058	7320	-617921
1059	7119	-643036
1060	6950	-661811
1061	6797	-679073
1062	6660	-519351
1063	7468	-515457
1064	43418	-610544
1065	0	-345166
1066	0	-247076
1067	0	-199792
1068	0	-212432
1069	0	-214501
1070	0	-170605
1071	0	-153473
1072	0	-185659
1073	0	-260938
1074	0	-407414
1075	5460	-501218
1076	6281	-560341
1077	43251	-652309
1078	25108	-701363
1079	14027	-703895
1080	9299	-713528
1081	8021	-759223
1082	7724	-798689
1083	7504	-845114
1084	7329	-863777
1085	7169	-885286
1086	7019	-644722
1087	7840	-623299
1088	45700	-689157
1089	0	-387349
1090	0	-256618
1091	0	-199200
1092	0	-188391
1093	0	-178941
1094	0	-132962
1095	0	-99907
1096	0	-112690
1097	0	-191417
1098	0	-335457
1099	5080	-431437
1100	5984	-337887
1101	44111	-409161
1102	26305	-506700
1103	15290	-593499
1104	10152	-698520
1105	8348	-697312
1106	7913	-699219
1107	7689	-688471
1108	7504	-642774
1109	7370	-617649
1110	7218	-569912
1111	8011	-547071
1112	46900	-600326
1113	0	-292963
1114	0	-177042
1115	0	-125319
1116	0	-123679
1117	0	-133799
1118	0	-113187
1119	0	-95209
1120	0	-119120
1121	0	-198824
1122	0	-347100
1123	4930	-444843
1124	6111	-448500
1125	44013	-530667
1126	26695	-593664
1127	15868	-616107
1128	10708	-655861
1129	8587	-680885
1130	7840	-670031
1131	7499	-678464
1132	7264	-700283
1133	7060	-744275
1134	6874	-758328
1135	6710	-776318
1136	22406	-759402
1137	24419	-717650
1138	21876	-687528
1139	20461	-675388
1140	19286	-659326
1141	18288	-637458
1142	15805	-475852
1143	14670	-475044
1144	13950	-495016
1145	13196	-687386
1146	12425	-718336
1147	11681	-724497
1148	6028	-696797
1149	4157	-701579
1150	4157	-688019
1151	4157	-667634
1152	4157	-650169
1153	4157	-635101
1154	4157	-629043
1155	4157	-610773
1156	4157	-628989
1157	4157	-616159
1158	4157	-631356
1159	4157	-613961
1160	10157	-691967
1161	10868	-640070
1162	9969	-629192
1163	9558	-620881
1164	9240	-608779
1165	8982	-570792
1166	8012	-415548
1167	5061	-397184
1168	6716	-417659
1169	7499	-448180
1170	7326	-441006
1171	7146	-486410
1172	4908	-510622
1173	4157	-560672
1174	4157	-596006
1175	4157	-648548
1176	4157	-682583
1177	4157	-666168
1178	4157	-679903
1179	4157	-661449
1180	4157	-674108
1181	4157	-656030
1182	4157	-667682
1183	4157	-669474
1184	7097	-742963
1185	7634	-698528
1186	7288	-669896
1187	7118	-646098
1188	6971	-632126
1189	6852	-622642
1190	6494	-475588
1191	6346	-482071
1192	6261	-505025
1193	6154	-626868
1194	6027	-646480
1195	5910	-639264
1196	4597	-598637
1197	4157	-588063
1198	4157	-620141
1199	4157	-623493
1200	4157	-656028
1201	4157	-661504
1202	4157	-671359
1203	4157	-687102
1204	4157	-697153
1205	4157	-712239
1206	4157	-603184
1207	4157	-586256
1208	13539	-676143
1209	46817	-577834
1210	4799	-454512
1211	3005	-407592
1212	2987	-394987
1213	2564	-384017
1214	1039	-335866
1215	0	-316818
1216	479	-323168
1217	4595	-384674
1218	43733	-520909
1219	29226	-557152
1220	25152	-468573
1221	22849	-507691
1222	12686	-537792
1223	7659	-582182
1224	6015	-592269
1225	5442	-605671
1226	5254	-621605
1227	5142	-633241
1228	5060	-635875
1229	4990	-669733
1230	4975	-571655
1231	5742	-562487
1232	27547	-669067
1233	2489	-471776
1234	0	-370581
1235	0	-301282
1236	0	-283556
1237	0	-284469
1238	0	-242969
1239	0	-218664
1240	0	-238221
1241	0	-309617
1242	5255	-435006
1243	40822	-545370
1244	33774	-541490
1245	30923	-544428
1246	18772	-574018
1247	10615	-591857
1248	8058	-595678
1249	7414	-550433
1250	7128	-511203
1251	6928	-459552
1252	6769	-506447
1253	6628	-542218
1254	6497	-519301
1255	7277	-506467
1256	37346	-581333
1257	0	-325715
1258	0	-224605
1259	0	-175409
1260	0	-183791
1261	0	-174434
1262	0	-139678
1263	0	-113903
1264	0	-141547
1265	0	-234235
1266	1876	-362187
1267	6173	-440586
1268	44533	-530382
1269	38976	-555060
1270	23259	-639580
1271	12952	-724501
1272	8984	-780389
1273	7961	-754766
1274	7662	-701585
1275	7441	-681602
1276	7258	-667945
1277	7094	-685520
1278	6960	-494971
1279	7792	-476461
1280	43771	-551316
1281	0	-286031
1282	0	-195944
1283	0	-156334
1284	0	-184893
1285	0	-173251
1286	0	-130265
1287	0	-124953
1288	0	-139595
1289	0	-208434
1290	513	-335430
1291	6169	-407290
1292	6848	-413719
1293	45359	-486353
1294	26139	-511074
1295	14663	-526510
1296	12201	-519296
1297	8116	-524006
1298	5077	-511601
1299	7430	-503312
1300	7198	-494404
1301	6998	-481020
1302	6818	-467028
1303	6661	-481172
1304	21428	-580699
1305	23256	-552230
1306	20800	-536986
1307	19431	-536092
1308	18298	-544929
1309	17339	-539262
1310	10356	-391373
1311	12596	-429422
1312	13514	-443976
1313	12656	-640384
1314	11836	-656945
1315	11088	-699205
1316	5877	-706129
1317	4157	-746737
1318	4157	-769150
1319	4157	-770488
1320	4157	-787530
1321	4157	-793886
1322	4157	-812966
1323	4157	-816284
1324	4157	-785758
1325	4157	-748474
1326	4157	-711473
1327	4157	-751332
1328	10046	-737802
1329	10744	-706593
1330	9870	-667530
1331	9470	-638006
1332	9158	-619619
1333	8904	-616061
1334	8019	-483983
1335	7693	-492661
1336	7570	-512159
1337	7414	-729221
1338	7237	-748942
1339	7069	-751426
1340	4889	-739930
1341	4157	-739161
1342	4157	-734160
1343	4157	-708590
1344	4157	-698657
1345	4157	-709820
1346	4157	-744536
1347	4157	-768713
1348	4157	-740636
1349	4157	-703372
1350	4157	-565160
1351	4157	-547445
1352	16928	-630196
1353	5328	-437775
1354	504	-335209
1355	0	-286964
1356	0	-281669
1357	0	-274764
1358	0	-232924
1359	0	-200355
1360	0	-209588
1361	934	-278245
1362	6096	-384210
1363	34139	-485930
1364	28673	-421557
1365	26208	-460611
1366	14240	-505592
1367	8267	-532244
1368	6495	-556311
1369	5905	-592228
1370	5700	-638553
1371	5571	-677632
1372	5470	-693225
1373	5382	-698130
1374	5304	-537990
1375	6093	-514655
1376	32083	-617203
1377	0	-383686
1378	0	-272544
1379	0	-222252
1380	0	-216678
1381	0	-215664
1382	0	-189157
1383	0	-166090
1384	0	-197977
1385	0	-264364
1386	3188	-392683
1387	6439	-464334
1388	41533	-547931
1389	36443	-585471
1390	21254	-604484
1391	11167	-594654
1392	8220	-567313
1393	7546	-596211
1394	7266	-610024
1395	7067	-646235
1396	6899	-665965
1397	6748	-655577
1398	6607	-543310
1399	7411	-534252
1400	39858	-607761
1401	0	-331106
1402	0	-215926
1403	0	-165583
1404	0	-173291
1405	0	-169223
1406	0	-123994
1407	0	-104320
1408	0	-125001
1409	0	-209908
1410	199	-345486
1411	5710	-438962
1412	6376	-451322
1413	42763	-521610
1414	24869	-558287
1415	13864	-585426
1416	9258	-600660
1417	8020	-596058
1418	7723	-609594
1419	7505	-627208
1420	7332	-640233
1421	7177	-648196
1422	7069	-516030
1423	7870	-493574
1424	46529	-578825
1425	0	-292185
1426	0	-205427
1427	0	-153564
1428	0	-150696
1429	0	-138452
1430	0	-110156
1431	0	-110126
1432	0	-117035
1433	0	-193400
1434	0	-321377
1435	5728	-396919
1436	6494	-331688
1437	46997	-417608
1438	26954	-413979
1439	15178	-423955
1440	10049	-424764
1441	8322	-468506
1442	7926	-524817
1443	7715	-530357
1444	7531	-535313
1445	7363	-528854
1446	7257	-462313
1447	8040	-446701
1448	6507	-453666
1449	0	-226579
1450	0	-115612
1451	0	-74275
1452	0	-77779
1453	0	-69562
1454	0	-25388
1455	0	-2639
1456	0	-13723
1457	0	-82993
1458	0	-225826
1459	3803	-335083
1460	5646	-329629
1461	6293	-432630
1462	28517	-497545
1463	15865	-576028
1464	10717	-604413
1465	8585	-525092
1466	7850	-559032
1467	7520	-550881
1468	7287	-546877
1469	7085	-558908
1470	6902	-545266
1471	6740	-599435
1472	22519	-660201
1473	24536	-591637
1474	21965	-541391
1475	20545	-515471
1476	19381	-512894
1477	18399	-495125
1478	11220	-381316
1479	13393	-398677
1480	14329	-396449
1481	13477	-491789
1482	12651	-490658
1483	11904	-497061
1484	6085	-421016
1485	4157	-430640
1486	4157	-439424
1487	4157	-449513
1488	4157	-528963
1489	4157	-595670
1490	4157	-578449
1491	4157	-488306
1492	4157	-492435
1493	4157	-495837
1494	4157	-505467
1495	4157	-501346
1496	10711	-643876
1497	11535	-578143
1498	10480	-513731
1499	10005	-496360
1500	9681	-497187
1501	9429	-512347
1502	5486	-367822
1503	6970	-386553
1504	7874	-385197
1505	7676	-475418
1506	7482	-495321
1507	7320	-550986
1508	4953	-505125
1509	4157	-525036
1510	4157	-520252
1511	4157	-569730
1512	4157	-613073
1513	4157	-576490
1514	4157	-578263
1515	4199	-533523
1516	4172	-558982
1517	4157	-619669
