"1=Loop running this hour, 0=Off"	"Net hourly loop load, including thermal losses and pump heat"	"Net hourly loop load, including thermal losses and pump heat"	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	4153.27	-304083	13	0
1	29134.9	-563132	11	0
1	87753	-481971	10	0
1	119728	-434800	12	0
1	134503	-404080	15	0
1	134555	-293850	17	0
1	137219	-293003	17	0
1	149715	-393705	16	0
1	163643	-398427	16	0
1	158018	-402366	15	0
1	128121	-352607	15	0
1	84687.2	-299645	14	0
1	54885.5	-243771	14	0
1	43728.3	-256292	14	0
1	39455.8	-314901	14	0
1	24924.9	-332460	15	0
1	13458.5	-324416	16	0
1	8839.14	-301196	17	0
1	7740.23	-331812	17	0
1	7460.39	-368019	16	0
1	7278.7	-399089	16	0
1	7135.27	-406216	16	0
1	7008.54	-436120	16	0
1	6936.63	-270527	16	0
1	8059.76	-252917	16	0
1	52572.7	-514085	17	0
1	132282	-492383	17	0
1	169355	-458862	19	0
1	182232	-434491	20	0
1	179192	-322784	22	0
1	179224	-312585	22	0
1	189734	-376990	22	0
1	202171	-366748	22	0
1	195333	-357427	21	0
1	164202	-312784	21	0
1	116959	-256291	20	0
1	80987.5	-200407	20	0
1	63439	-149204	19	0
1	55997.9	-158412	19	0
1	34020.2	-205957	18	0
1	20011.7	-258852	16	0
1	13804.4	-303420	15	0
1	11450.8	-341110	15	0
1	10445.2	-367822	16	0
1	9726.46	-399415	16	0
1	9126.35	-445621	14	0
1	8652.54	-467758	12	0
1	8401.88	-281428	10	0
1	11157.8	-265483	12	0
1	67972.5	-522646	13	0
1	156277	-499478	15	0
1	193370	-469921	17	0
1	204252	-440689	20	0
1	199738	-328814	22	0
1	198797	-310555	23	0
1	208761	-396314	24	0
1	223839	-379545	25	0
1	209603	-386799	25	0
1	180185	-341737	26	0
1	131648	-292678	26	0
1	94484.2	-226449	27	0
1	73334	-285584	27	0
1	64506.4	-335258	28	0
1	38481.1	-395757	25	0
1	22645.9	-423892	22	0
1	16184.4	-424109	19	0
1	13635.9	-438329	16	0
1	12493	-443680	13	0
1	11678.2	-446523	10	0
1	10992.6	-445269	7	0
1	10375.6	-447597	8	0
1	9897.19	-280948	8	0
1	13003.5	-263330	9	0
1	76113.7	-516734	9	0
1	166597	-464205	10	0
1	203330	-425625	13	0
1	215586	-401250	15	0
1	208297	-296190	18	0
1	208502	-284761	20	0
1	220530	-365377	21	0
1	233453	-343775	23	0
1	216790	-355055	20	0
1	188800	-322690	16	0
1	138968	-277689	13	0
1	100057	-222790	11	0
1	76621.8	-227088	9	0
1	67261.8	-248658	7	0
1	40575.2	-315182	6	0
1	23748	-348073	6	0
1	16958.8	-388051	5	0
1	14428.2	-405834	4	0
1	13279.7	-454077	3	0
1	12435.8	-470794	2	0
1	11716.1	-455251	1	0
1	11068.8	-432284	1	0
1	10472.1	-278271	0	0
1	13738.2	-264677	2	0
1	78339.5	-532456	5	0
1	168910	-510530	7	0
1	205311	-493065	11	0
1	217460	-477211	16	0
1	208538	-371258	20	0
1	208667	-356994	21	0
1	220447	-434286	21	0
1	232308	-428837	22	0
1	216314	-430397	22	0
1	188207	-382207	22	0
1	138758	-322024	22	0
1	100410	-258502	22	0
1	76961	-321743	23	0
1	67620.7	-386486	23	0
1	41138.3	-409780	23	0
1	24100	-420999	24	0
1	17220.5	-402377	24	0
1	14451	-442491	24	0
1	12954.1	-481593	23	0
1	11909.2	-505912	23	0
1	11080.9	-503148	22	0
1	10350.4	-517467	21	0
1	9684.6	-509904	20	0
1	9095.65	-476941	19	0
1	27866.8	-464764	19	0
1	30373	-371864	18	0
1	27349.5	-344061	19	0
1	25681.8	-331247	21	0
1	24329.4	-331649	22	0
1	23178.7	-334579	23	0
1	19912.5	-189274	23	0
1	18504	-207956	24	0
1	17730.6	-225055	23	0
1	16896.5	-401087	21	0
1	16033.5	-420277	20	0
1	15201.8	-411785	19	0
1	6916.99	-349109	18	0
1	4153.27	-339136	17	0
1	4153.27	-317279	18	0
1	4153.27	-321375	18	0
1	4153.27	-297687	19	0
1	4153.27	-280775	19	0
1	4153.27	-247473	18	0
1	4153.27	-221741	18	0
1	4153.27	-235448	18	0
1	4153.27	-262176	18	0
1	4153.27	-291925	18	0
1	4153.27	-324497	18	0
1	13483.8	-467990	18	0
1	14527.5	-411805	18	0
1	13048.4	-401533	19	0
1	12281.9	-382515	20	0
1	11602.5	-390612	21	0
1	11036.7	-384231	21	0
1	9342.95	-226162	21	0
1	8654.68	-254514	21	0
1	8483.78	-274679	19	0
1	8318.11	-566459	16	0
